,date,b_t,y_t,r0_t,diff_t
109,2020-05-10,0.07348272319006223,0.028019256745055933,2.6225793160280184,0.0454634664450063
110,2020-05-11,0.08626610863875792,0.05756595293572005,1.49856128908498,0.02870015570303787
111,2020-05-12,0.1196272918545236,0.06255098973764438,1.9124764029517765,0.057076302116879224
112,2020-05-13,0.12459252790104902,0.010713596620393407,11.629383886255924,0.11387893128065561
113,2020-05-14,0.14735565746168644,0.05006062705698943,2.9435439810599164,0.097295030404697
114,2020-05-15,0.1040221337830989,0.039066459508636665,2.662696724797958,0.06495567427446222
115,2020-05-16,0.05549357529041872,0.03471761704517971,1.5984269662921349,0.020775958245239007
116,2020-05-17,0.10358453072454907,0.04843320085600734,2.138709168376203,0.05515132986854173
117,2020-05-18,0.1114547719765892,0.045887176218346176,2.428887134964483,0.06556759575824303
118,2020-05-19,0.12791962367784213,0.0672227207221905,1.902922439073718,0.060696902955651624
119,2020-05-20,0.11099931426520633,0.0594538474848914,1.8669828608386332,0.05154546678031493
120,2020-05-21,0.12068503169185762,0.057715748415407116,2.091024287222809,0.06296928327645052
121,2020-05-22,0.08911657454762287,0.04103502052611059,2.171719994411066,0.04808155402151228
122,2020-05-23,0.08293307366601385,0.040066083874003,2.0699071545603496,0.042866989792010854
123,2020-05-24,0.05707271525541089,0.020573454892621464,2.7740948495665476,0.03649926036278943
124,2020-05-25,0.07735637070326734,0.02409004413134135,3.2111344537815127,0.053266326571925995
125,2020-05-26,0.09375976013492411,0.03869938544184281,2.4227712937670725,0.0550603746930813
126,2020-05-27,0.11504444930229168,0.049900717746930445,2.3054668248608197,0.06514373155536124
127,2020-05-28,0.11033008380366,0.05076107405507098,2.173517520215633,0.059569009748589016
128,2020-05-29,0.13041337788323407,0.04606717995900118,2.83093903293623,0.0843461979242329
129,2020-05-30,0.05927863825479878,0.021074450903190753,2.8128200600388484,0.03820418735160803
130,2020-05-31,0.03933973761559968,0.016219800702559323,2.425414364640884,0.02311993691304036
131,2020-06-01,0.09695547069333987,0.04399677679290894,2.2036948558687692,0.05295869390043093
132,2020-06-02,0.09078144443778989,0.04983929248767244,1.8214834101074837,0.04094215195011745
133,2020-06-03,0.09414066120932968,0.052248514468548925,1.8017863697540684,0.041892146740780754
134,2020-06-04,0.09149979905324936,0.03674411041947251,2.4901895299323704,0.05475568863377685
135,2020-06-05,0.07612163871962305,0.02969415802562499,2.563522382211774,0.04642748069399806
136,2020-06-06,0.05110807828400048,0.018909460845491666,2.70277818609437,0.03219861743850881
137,2020-06-07,0.040325729565828555,0.25395111363642486,0.1587932771327077,-0.2136253840705963
138,2020-06-08,0.10553693056321292,0.06328312004958547,1.6676948051948053,0.04225381051362745
139,2020-06-09,0.10395255618346695,0.05644302799316599,1.8417253623610224,0.047509528190300965
140,2020-06-10,0.09150304246910482,0.05033874913744433,1.8177456539348245,0.04116429333166049
141,2020-06-11,0.07553382498252717,0.04566432892295086,1.6541100409024936,0.02986949605957631
142,2020-06-12,0.06087890036535531,0.04186813861855326,1.4540627401662825,0.019010761746802045
143,2020-06-13,0.04735932575109514,0.027859271209502868,1.6999484801648634,0.01950005454159227
144,2020-06-14,0.05637038893315801,0.024124949669295594,2.3366013071895426,0.03224543926386242
145,2020-06-15,0.09175047667367697,0.033540369282302654,2.7355237475601824,0.05821010739137432
146,2020-06-16,0.07969985281342877,0.0800143320023818,0.9960697142488965,-0.0003144791889530263
147,2020-06-17,0.05550756663512291,0.034897542938623745,1.5905866706073595,0.020610023696499162
148,2020-06-18,0.13532871500250118,0.04307831456189018,3.1414579790041643,0.092250400440611
149,2020-06-19,0.0778205436612942,0.05816879776466016,1.3378399872753302,0.019651745896634043
150,2020-06-20,0.03436065187013411,0.025722283723209262,1.3358320839580209,0.008638368146924848
151,2020-06-21,0.05048894366577304,0.030627575163281094,1.6484799530033778,0.019861368502491948
152,2020-06-22,0.08393628587117362,0.05783713334935816,1.451252526022801,0.02609915252181546
153,2020-06-23,0.08927611981998633,0.0698606054614462,1.2779179228450133,0.019415514358540123
154,2020-06-24,0.08083367767723873,0.04017228439152324,2.0121752820781946,0.04066139328571549
155,2020-06-25,0.09292592059868036,0.04634140906245505,2.0052459016393445,0.046584511536225316
156,2020-06-26,0.07275064167831302,0.04900370489378918,1.4845947227050087,0.023746936784523845
157,2020-06-27,0.05657972855948964,0.03460696336801026,1.634923236627875,0.02197276519147938
158,2020-06-28,0.04321900155965832,0.021818565299360042,1.9808360892054608,0.021400436260298278
159,2020-06-29,0.058988896335609615,0.05525929682830076,1.0674927065919297,0.0037295995073088548
160,2020-06-30,0.082424850531194,0.05291908562807577,1.5575637702905472,0.02950576490311823
161,2020-07-01,0.08212922824503618,0.2454954520674731,0.33454480542663334,-0.16336622382243693
