,date,I,I_p,C_p
282,2020-10-30,,289472.8077152905,224396.67629970572
283,2020-10-31,,291889.68743425346,224413.20601071458
284,2020-11-01,,294320.7739415279,224429.23983039317
285,2020-11-02,,296766.03819615685,224444.7926354814
286,2020-11-03,,299225.4485981558,224459.87885641697
287,2020-11-04,,301698.97094913677,224474.51249072448
288,2020-11-05,,304186.56841292913,224488.70711600277
289,2020-11-06,,306688.20147621364,224502.4759025227
290,2020-11-07,,309203.82790918666,224515.83162544706
291,2020-11-08,,311733.40272627224,224528.78667668367
292,2020-11-09,,314276.8781469,224541.35307638318
293,2020-11-10,,316834.2035563669,224553.5424840917
294,2020-11-11,,319405.32546680246,224565.36620956898
295,2020-11-12,,321990.18747825595,224576.83522328193
296,2020-11-13,,324588.7302399255,224587.9601665835
297,2020-11-14,,327200.89141154976,224598.75136158604
298,2020-11-15,,329826.6056249819,224609.2188207385
299,2020-11-16,,332465.8044459679,224619.37225611636
300,2020-11-17,,335118.4163361494,224629.22108843288
301,2020-11-18,,337784.3666153145,224638.7744557799
302,2020-11-19,,340463.57742391777,224648.04122210652
303,2020-11-20,,343155.96768589225,224657.02998544334
304,2020-11-21,,345861.4530717773,224665.74908588006
305,2020-11-22,,348579.9459621853,224674.2066133037
306,2020-11-23,,351311.3554116312,224682.41041490462
307,2020-11-24,,354055.58711275004,224690.36810245752
308,2020-11-25,,356812.5433609262,224698.08705938383
309,2020-11-26,,359582.12301936024,224705.57444760235
310,2020-11-27,,362364.2214845988,224712.83721417433
311,2020-11-28,,365158.7306525537,224719.88209774916
312,2020-11-29,,367965.53888503584,224726.71563481673
313,2020-11-30,,370784.53097683156,224733.3441657723
314,2020-12-01,,373615.5881233479,224739.77384079917
315,2020-12-02,,376458.58788885415,224746.01062557526
316,2020-12-03,,379313.40417534776,224752.06030680807
317,2020-12-04,,382179.90719207213,224757.9284976039
318,2020-12-05,,385057.96342571505,224763.62064267584
319,2020-12-06,,387947.4356113162,224769.14202339563
320,2020-12-07,,390848.18270391243,224774.49776269382
321,2020-12-08,,393760.0598509507,224779.69282981305
322,2020-12-09,,396682.91836549697,224784.7320449187
323,2020-12-10,,399616.60570027167,224789.62008357118
324,2020-12-11,,402560.96542254114,224794.3614810641
325,2020-12-12,,405515.8371898953,224798.9606366322
326,2020-12-13,,408481.05672694155,224803.42181753326
327,2020-12-14,,411456.4558029458,224807.7491630073
328,2020-12-15,,414441.8622104506,224811.94668811714
329,2020-12-16,,417437.0997449011,224816.01828747368
330,2020-12-17,,420441.98818531085,224819.96773884952
331,2020-12-18,,423456.34327599616,224823.7987066841
332,2020-12-19,,426479.9767094121,224827.5147454836
333,2020-12-20,,429512.69611011987,224831.11930311914
334,2020-12-21,,432554.3050199167,224834.61572402559
335,2020-12-22,,435604.6028841599,224838.00725230484
336,2020-12-23,,438663.3850393156,224841.29703473573
337,2020-12-24,,441730.44270176283,224844.4881236937
338,2020-12-25,,444805.56295788445,224847.58347998295
339,2020-12-26,,447888.52875547524,224850.5859755835
340,2020-12-27,,450979.11889649805,224853.49839631602
341,2020-12-28,,454077.10803121806,224856.32344442655
342,2020-12-29,,457182.26665374596,224859.06374109376
343,2020-12-30,,460294.36109901976,224861.72182886096
344,2020-12-31,,463413.153541255,224864.30017399514
345,2021-01-01,,466538.4019938933,224866.8011687753
346,2021-01-02,,469669.86031107826,224869.22713371206
347,2021-01-03,,472807.2781906872,224871.5803197007
348,2021-01-04,,475950.40117894823,224873.8629101097
349,2021-01-05,,479098.97067667,224876.0770228064
350,2021-01-06,,482252.7239471122,224878.2247121222
351,2021-01-07,,485411.39412552386,224880.30797075853
352,2021-01-08,,488574.7102303766,224882.32873163576
353,2021-01-09,,491742.3971763186,224884.2888696867
354,2021-01-10,,494914.17578887555,224886.19020359608
355,2021-01-11,,498089.76282092277,224888.0344974882
356,2021-01-12,,501268.87097095407,224889.82346256357
357,2021-01-13,,504451.2089031702,224891.55875868667
358,2021-01-14,,507636.48126941064,224893.2419959261
359,2021-01-15,,510824.3887329507,224894.87473604834
360,2021-01-16,,514014.6279941857,224896.4584939669
361,2021-01-17,,517206.89181822294,224897.9947391479
362,2021-01-18,,520400.8690644016,224899.48489697344
